         ps       /tb_hybrid_control/HC_inst/i_vC    /tb_hybrid_control/HC_inst/z2       /tb_hybrid_control/HC_half_inst/z2                                          
          delta          /tb_hybrid_control/HC_inst/i_iC        /tb_hybrid_control/HC_inst/jump   /tb_hybrid_control/HC_half_inst/jump_1                             
                                        /tb_hybrid_control/HC_inst/z1       /tb_hybrid_control/HC_half_inst/z1    /tb_hybrid_control/HC_half_inst/sigma              
                                                                 /tb_hybrid_control/HC_inst/sigma              /tb_hybrid_control/HC_half_inst/jump_2                
          0  +0                                 x      x            x            x            x 0            x            x            x            x 0 
   17100000  +1                             -6472   5020        -8438         5020     -5036876 1        -8438         5020      5036876      8427960 1 
   17200000  +1                             -6311   5221        -8277         5221     -5237554 1        -8277         5221      5237554      8266558 1 
   17300000  +1                             -6144   5416        -8110         5416     -5432220 1        -8110         5416      5432220      8099168 1 
   17400000  +1                             -5970   5607        -7936         5607     -5622872 1        -7936         5607      5622872      7924786 1 
   17500000  +1                             -5791   5791        -7757         5791     -5806514 1        -7757         5791      5806514      7745418 1 
   17600000  +1                             -5607   5970        -7573         5970     -5985146 1        -7573         5970      5985146      7561060 1 
   17700000  +1                             -5416   6144        -7382         6144     -6158764 1        -7382         6144      6158764      7369712 1 
   17800000  +1                             -5221   6311        -7187         6311     -6325374 1        -7187         6311      6325374      7174378 1 
   17900000  +1                             -5020   6472        -6986         6472     -6485972 1        -6986         6472      6485972      6973056 1 
   18000000  +1                             -4814   6626        -6780         6626     -6639560 1        -6780         6626      6639560      6766748 1 
   18100000  +1                             -4604   6774        -6570         6774     -6787140 1        -6570         6774      6787140      6556452 1 
   18200000  +1                             -4388   6915        -6354         6915     -6927708 1        -6354         6915      6927708      6340170 1 
   18300000  +1                             -4169   7050        -6135         7050     -7062270 1        -6135         7050      7062270      6120900 1 
   18400000  +1                             -3946   7177        -5912         7177     -7188824 1        -5912         7177      7188824      5897646 1 
   18500000  +1                             -3718   7298        -5684         7298     -7309368 1        -5684         7298      7309368      5669404 1 
   18600000  +1                             -3487   7411        -5453         7411     -7421906 1        -5453         7411      7421906      5438178 1 
   18700000  +1                             -3253   7517        -5219         7517     -7527438 1        -5219         7517      7527438      5203966 1 
   18800000  +1                             -3015   7615        -4981         7615     -7624962 1        -4981         7615      7624962      4965770 1 
   18900000  +1                             -2774   7706        -4740         7706     -7715480 1        -4740         7706      7715480      4724588 1 
   19000000  +1                             -2531   7790        -4497         7790     -7798994 1        -4497         7790      7798994      4481420 1 
   19100000  +1                             -2285   7865        -4251         7865     -7873502 1        -4251         7865      7873502      4235270 1 
   19200000  +1                             -2037   7933        -4003         7933     -7941006 1        -4003         7933      7941006      3987134 1 
   19300000  +1                             -1786   7993        -3752         7993     -8000504 1        -3752         7993      8000504      3736014 1 
   19400000  +1                             -1534   8045        -3500         8045     -8052000 1        -3500         8045      8052000      3483910 1 
   19500000  +1                             -1281   8090        -3247         8090     -8096494 1        -3247         8090      8096494      3230820 1 
   19600000  +1                             -1026   8126        -2992         8126     -8131984 1        -2992         8126      8131984      2975748 1 
   19700000  +1                              -770   8154        -2736         8154     -8159472 1        -2736         8154      8159472      2719692 1 
   19800000  +1                              -514   8174        -2480         8174     -8178960 1        -2480         8174      8178960      2463652 1 
   19900000  +1                              -257   8186        -2223         8186     -8190446 1        -2223         8186      8190446      2206628 1 
   20000000  +1                                 0   8191        -1966         8191     -8194932 1        -1966         8191      8194932      1949618 1 
   20100000  +1                               257   8186        -1709         8186     -8189418 1        -1709         8186      8189418      1692628 1 
   20200000  +1                               514   8174        -1452         8174     -8176904 1        -1452         8174      8176904      1435652 1 
   20300000  +1                               770   8154        -1196         8154     -8156392 1        -1196         8154      8156392      1179692 1 
   20400000  +1                              1026   8126         -940         8126     -8127880 1         -940         8126      8127880       923748 1 
   20500000  +1                              1281   8090         -685         8090     -8091370 1         -685         8090      8091370       668820 1 
   20600000  +1                              1534   8045         -432         8045     -8045864 1         -432         8045      8045864       415910 1 
   20700000  +1                              1786   7993         -180         7993     -7993360 1         -180         7993      7993360       164014 1 
   20800000  +1                              2037   7933           71         7933     -7932858 1           71         7933      7932858       -86866 1 
   20900000  +1                              2285   7865          319         7865     -7864362 1          319         7865      7864362      -334730 1 
   21000000  +1                              2531   7790          565         7790     -7788870 1          565         7790      7788870      -580580 1 
   21100000  +1                              2774   7706          808         7706     -7704384 1          808         7706      7704384      -823412 1 
   21200000  +1                              3015   7615         1049         7615     -7612902 1         1049         7615      7612902     -1064230 1 
   21300000  +1                              3253   7517         1287         7517     -7514426 1         1287         7517      7514426     -1302034 1 
   21400000  +1                              3487   7411         1521         7411     -7407958 1         1521         7411      7407958     -1535822 1 
   21500000  +1                              3718   7298         1752         7298     -7294496 1         1752         7298      7294496     -1766596 1 
   21600000  +1                              3946   7177         1980         7177     -7173040 1         1980         7177      7173040     -1994354 1 
   21700000  +1                              4169   7050         2203         7050     -7045594 1         2203         7050      7045594     -2217100 1 
   21800000  +1                              4388   6915         2422         6915     -6910156 1         2422         6915      6910156     -2435830 1 
   21900000  +1                              4604   6774         2638         6774     -6768724 1         2638         6774      6768724     -2651548 1 
   22000000  +1                              4814   6626         2848         6626     -6620304 1         2848         6626      6620304     -2861252 1 
   22100000  +1                              5020   6472         3054         6472     -6465892 1         3054         6472      6465892     -3066944 1 
   22200000  +1                              5221   6311         3255         6311     -6304490 1         3255         6311      6304490     -3267622 1 
   22300000  +1                              5416   6144         3450         6144     -6137100 1         3450         6144      6137100     -3462288 1 
   22400000  +1                              5607   5970         3641         5970     -5962718 1         3641         5970      5962718     -3652940 1 
   22500000  +1                              5791   5791         3825         5791     -5783350 1         3825         5791      5783350     -3836582 1 
