         ps       /tb_hybrid_control/HC_inst/o_sigma        /tb_hybrid_control/HC_inst/vC_32      /tb_hybrid_control/HC_inst/stheta        /tb_hybrid_control/HC_inst/jump             /tb_hybrid_control/HC_inst/z12                                 
          delta             /tb_hybrid_control/HC_inst/i_vC              /tb_hybrid_control/HC_inst/iC_32          /tb_hybrid_control/HC_inst/z1          /tb_hybrid_control/HC_inst/jump_1         /tb_hybrid_control/HC_inst/z22                    
                                   /tb_hybrid_control/HC_inst/i_iC                   /tb_hybrid_control/HC_inst/ctheta          /tb_hybrid_control/HC_inst/z2          /tb_hybrid_control/HC_inst/jump_2                                              
                                             /tb_hybrid_control/HC_inst/i_theta                                                             /tb_hybrid_control/HC_inst/sigma                                                                          
                                                                                                                                                 /tb_hybrid_control/HC_inst/s2                                                                        
          0  +0                                  StX      x      x            x            x            x            x            x            x            x            x 1 0            x            x            x            x 
    7100000  +1                                  St0   6472  -5020          314         6472        -5020        -1000            2         8438        -5020      5036876 0 0      5036876      8427960         8438        -5020 
    7200000  +1                                  St0   6311  -5221          314         6311        -5221        -1000            2         8277        -5221      5237554 0 0      5237554      8266558         8277        -5221 
    7300000  +1                                  St0   6144  -5416          314         6144        -5416        -1000            2         8110        -5416      5432220 0 0      5432220      8099168         8110        -5416 
    7400000  +1                                  St0   5970  -5607          314         5970        -5607        -1000            2         7936        -5607      5622872 0 0      5622872      7924786         7936        -5607 
    7500000  +1                                  St0   5791  -5791          314         5791        -5791        -1000            2         7757        -5791      5806514 0 0      5806514      7745418         7757        -5791 
    7600000  +1                                  St0   5607  -5970          314         5607        -5970        -1000            2         7573        -5970      5985146 0 0      5985146      7561060         7573        -5970 
    7700000  +1                                  St0   5416  -6144          314         5416        -6144        -1000            2         7382        -6144      6158764 0 0      6158764      7369712         7382        -6144 
    7800000  +1                                  St0   5221  -6311          314         5221        -6311        -1000            2         7187        -6311      6325374 0 0      6325374      7174378         7187        -6311 
    7900000  +1                                  St0   5020  -6472          314         5020        -6472        -1000            2         6986        -6472      6485972 0 0      6485972      6973056         6986        -6472 
    8000000  +1                                  St0   4814  -6626          314         4814        -6626        -1000            2         6780        -6626      6639560 0 0      6639560      6766748         6780        -6626 
    8100000  +1                                  St0   4604  -6774          314         4604        -6774        -1000            2         6570        -6774      6787140 0 0      6787140      6556452         6570        -6774 
    8200000  +1                                  St0   4388  -6915          314         4388        -6915        -1000            2         6354        -6915      6927708 0 0      6927708      6340170         6354        -6915 
    8300000  +1                                  St0   4169  -7050          314         4169        -7050        -1000            2         6135        -7050      7062270 0 0      7062270      6120900         6135        -7050 
    8400000  +1                                  St0   3946  -7177          314         3946        -7177        -1000            2         5912        -7177      7188824 0 0      7188824      5897646         5912        -7177 
    8500000  +1                                  St0   3718  -7298          314         3718        -7298        -1000            2         5684        -7298      7309368 0 0      7309368      5669404         5684        -7298 
    8600000  +1                                  St0   3487  -7411          314         3487        -7411        -1000            2         5453        -7411      7421906 0 0      7421906      5438178         5453        -7411 
    8700000  +1                                  St0   3253  -7517          314         3253        -7517        -1000            2         5219        -7517      7527438 0 0      7527438      5203966         5219        -7517 
    8800000  +1                                  St0   3015  -7615          314         3015        -7615        -1000            2         4981        -7615      7624962 0 0      7624962      4965770         4981        -7615 
    8900000  +1                                  St0   2774  -7706          314         2774        -7706        -1000            2         4740        -7706      7715480 0 0      7715480      4724588         4740        -7706 
    9000000  +1                                  St0   2531  -7790          314         2531        -7790        -1000            2         4497        -7790      7798994 0 0      7798994      4481420         4497        -7790 
    9100000  +1                                  St0   2285  -7865          314         2285        -7865        -1000            2         4251        -7865      7873502 0 0      7873502      4235270         4251        -7865 
    9200000  +1                                  St0   2037  -7933          314         2037        -7933        -1000            2         4003        -7933      7941006 0 0      7941006      3987134         4003        -7933 
    9300000  +1                                  St0   1786  -7993          314         1786        -7993        -1000            2         3752        -7993      8000504 0 0      8000504      3736014         3752        -7993 
    9400000  +1                                  St0   1534  -8045          314         1534        -8045        -1000            2         3500        -8045      8052000 0 0      8052000      3483910         3500        -8045 
    9500000  +1                                  St0   1281  -8090          314         1281        -8090        -1000            2         3247        -8090      8096494 0 0      8096494      3230820         3247        -8090 
    9600000  +1                                  St0   1026  -8126          314         1026        -8126        -1000            2         2992        -8126      8131984 0 0      8131984      2975748         2992        -8126 
    9700000  +1                                  St0    770  -8154          314          770        -8154        -1000            2         2736        -8154      8159472 0 0      8159472      2719692         2736        -8154 
    9800000  +1                                  St0    514  -8174          314          514        -8174        -1000            2         2480        -8174      8178960 0 0      8178960      2463652         2480        -8174 
